,"Item","Description","Preferred Vendor","U/M","Albertsons Denver Price"
,"LIBST302-FW","810312-021675 / #21675 2XL-3XL-BUTTON SLV TUNIC (T4875)",,"EACH (EA)",999.00
,"LIBWKJP101-FW","810312-023952 / #23952 BOYS WAFFLE KNIT PULLOVER (B5269)",,"EACH (EA)",999.00
,"LIBWKJP102-FW","810312-023969 / #23969 BOYS FLEECE JOGGER PANTS (B5269)",,"EACH (EA)",999.00
,"LICJJ101-AY","810312-023594 / #23594 CAPRI JEAN JEGGING S-XL (J9431)",,"EACH (EA)",11.5
,"LICJJ102-AY","810312-023631 / #23631 CAPRI JEAN JEGGING 2XL-3XL (J9431)",,"EACH (EA)",11.5
,"LICP201-FW","810312-021644 / #21644 CORDUROY PANTS S-M (P4401)",,"EACH (EA)",999.00
,"LICP202-FW","810312-022801 / #22801 CORDUROY PANTS L-XL (P4401)",,"EACH (EA)",999.00
,"LICSSL101-SS","810312-024379 / #24379 PRINT CAPRI S. SOFT LEGNG (L7986)",,"EACH (EA)",999.00
,"LICSSL102-SS","810312-024386 / #24386 PRINT CAPRI S. SOFT LEGNG 2XL-3XL (L7986)",,"EACH (EA)",999.00
,"LICSSL111-SS","810312-024355 / #24355 SOLID CAPRI S. SOFT LEGNG (L5562)",,"EACH (EA)",999.00
,"LICSSL112-SS","810312-024362 / #24362 SOLID CAPRI S. SOFT LEGNG 2XL-3XL (L5562)",,"EACH (EA)",999.00
,"LICSST101-AY","810312-022399 / #22399 COTTON SIDE SLIT TEE S (T9905)",,"EACH (EA)",999.00
,"LICSST102-AY","810312-022405 / #22405 COTTON SIDE SLIT TEE M (T9905)",,"EACH (EA)",999.00
,"LICSST103-AY","810312-022412 / #22412 COTTON SIDE SLIT TEE L (T9905)",,"EACH (EA)",999.00
,"LICSST104-AY","810312-022429 / #22429 COTTON SIDE SLIT TEE XL (T9905)",,"EACH (EA)",999.00
,"LICYP201-AY","810312-022788 / #22788 COTTON YOGA PANTS S-M (P8895)",,"EACH (EA)",999.00
,"LICYP202-AY","810312-022795 / #22795 COTTON YOGA PANTS L-XL (P8895)",,"EACH (EA)",999.00
,"LIDLST101-FW","810312-020975 / #20975 DOUBLE LACE SLEEVE TUNIC S-XL (T7526)",,"EACH (EA)",999.00
,"LIDLST102-FW","810312-021026 / #21026 DOUBLE LACE SLEEVE TUNIC 2XL-3XL (T7526)",,"EACH (EA)",999.00
,"LIFFMA101-AY","810312-023181 / #23181 FABRIC FACE MASK - ADULT (M8198)",,"EACH (EA)",999.00
,"LIFFMK102-AY","810312-023198 / #23198 FABRIC FACE MASK - KIDS (M8198)",,"EACH (EA)",999.00
,"LIFS10041-SS","810312-020258 / #20258 FASHION SUNDRESS (D5823)",,"EACH (EA)",999.00
,"LIFS10042-SS","810312-020623 / #20623 SURPLICE SUNDRESS (D5823)",,"EACH (EA)",999.00
,"LIFS101-SS","810312-020258 / #20258 FASHION SUNDRESS S-XL (D5870)",,"EACH (EA)",999.00
,"LIFS102-SS","810312-020470 / #20470 FASHION SUNDRESS 2XL-3XL (D5870)",,"EACH (EA)",999.00
,"LIFS201-SS","810312-024300 / #24300 FASHION SUNDRESS S-XL (D1070)",,"EACH (EA)",999.00
,"LIFS202-SS","810312-024317 / #24317 FASHION SUNDRESS 2XL-3XL (D1070)",,"EACH (EA)",999.00
,"LIGDL101-AY","810312-023921 / #23921 GIRLS 3-4 SLEEVE CUTOUT BACK DRESS (G2138)",,"EACH (EA)",999.00
,"LIGDL102-AY","810312-023938 / #23938 GIRLS SUPER SOFT LEGGINGS - PRINTED (G2138)",,"EACH (EA)",999.00
,"LIGDL103-AY","810312-023945 / #23945 GIRLS SUPER SOFT LEGGINGS - SOLID (G2138)",,"EACH (EA)",999.00
,"LIHFL101-FW","810312-022962 / #22962 HOLIDAY FLEECE LEGGINGS S-L (L6279)",,"EACH (EA)",4.2
,"LIHFL102-FW","810312-022979 / #22979 HOLIDAY FLEECE LEGGINGS L-XXL (L6279)",,"EACH (EA)",4.2
