Item,Description,Preferred Vendor,U/M,Albertsons Intermountain Price,upc,style,display size,season
GMTWMD200-SS,810312-024270 / #24270 TIE WAIST MAXI DRESS,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Dress,SS
GMTXT100-AY,810312-021507 / #21507 TX TUMBLER - 20 OZ (24/CS),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMTXT110-AY,810312-021514 / #21514 TX TUMBLER - 30 OZ (24/CS),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMUSL1000-FW,810312-020999 / #20999 ULTRA STRETCH LEGGING,,EACH (EA),999,8.10312E+11,Printed,Carded,FW
GMWH1000-AY,810312-020678 / #20678 WESTERN HANDBAG,,EACH (EA),999,8.10312E+11,0,Long Hanging,AY
GMWPP100-FW,810312-020777 / #20777 WINTER PALAZZO PANTS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,FW
GMWT100-AY,810312-021521 / #21521 WINE TUMBLR  12 OZ -GLOSS,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMWT110-AY,810312-021538 / #21538 WINE TUMBLR  12 OZ-MTALIC,,EACH (EA),5.5,8.10312E+11,0,Display Box,AY
GMWTS102-AY,810312-021460 / #21460 GILDAN 5000-SHORT SL WHITE-(S),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMWTS103-AY,810312-021392 / #21392 GILDAN 5000-SHORT SL WHITE-(MD),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMWTS104-AY,810312-021354 / #21354 GILDAN 5000-SHORT SL WHITE-(LG),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMWTS105-AY,810312-021408 / #21408 GILDAN 5000-SHORT SL WHITE-(XL),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMWTS110-AY,810312-021361 / #21361 GILDAN 5400-LONG SL WHITE-(MD),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMWTS115-AY,810312-021378 / #21378 GILDAN 5400-LONG SL WHITE-(LG),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMWTS120-AY,810312-021385 / #21385 GILDAN 5400-LONG SL WHITE-(XL),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMXBST1100-FW,810312-020715 / #20715 2XL-3XL-BELL SLV TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMXBST3100-FW,810312-021675 / #21675 2XL-3XL-BUTTON SLV TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMXCNT120-SS,810312-021217 / #21217 2XL-3XL-CROCHET NKLNE TUN,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMXDJ110-AY,810312-021453 / #21453 2XL-3XL-DENIM JEGGING,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMXDLST2000-FW,810312-021026 / #21026 2XL-3XL-DBLE LACE SLV TUN,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMXFBT1120-FW,810312-020722 / #20722 2XL-3XL-FLARE BOTTOM TUN,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMXFS10048-SS,810312-020470 / #20470 2XL-3XL-FASHION SUNDRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMXHSLT110-SS,810312-020869 / #20869 2XL-3XL-HALF SLV LACE TUN,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMXLTST200-FW,810312-021019 / #21019 2XL-3XL-LACE TRIM SLV TUN,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMXOSLT1100-FW,810312-020746 / #20746 2XL-3XL-OPEN SLV LACE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMXPHT1000-FW,810312-023259 / #23259 2XL-3XL-PRINT HNKCHEF HEM TUN,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMXPKT1000-FW,810312-023273 / #23273 2XL-3XL-PLUSH KNIT TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMXPPP130-SS,810312-020890 / #20890 2XL-3XL-PRINT PALAZO PNTS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
GMXPPST220-FW,810312-022672 / #22672 2XL-3XL-PRINT PKT SWG TUN,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
