,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"ALBERTSONS SAFEWAY",,,,,,,,,,,""
"INTERMOUNTAIN DIVISION",,,,,,,,,,,""
,"Invoice","10/10/2022","523315","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM161","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,790.80
,"Invoice","10/10/2022","523315","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM161","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,832.80
,"Invoice","10/10/2022","523315","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM161","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,969.30
,"Invoice","10/10/2022","523315","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM161","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,1210.80
,"Invoice","10/10/2022","523315","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM161","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,1252.80
,"Invoice","10/10/2022","523315","810312-023556 / #23556 LOUNGE PANTS S-M (P5663)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM161","LILP201-AY (810312-023556 / #23556 LOUNGE PANTS S-M (P5663))",14,"EA",10.00,140.00,1392.80
,"Invoice","10/10/2022","523315","810312-023563 / #23563 LOUNGE PANTS L-XL (P5663)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM161","LILP202-AY (810312-023563 / #23563 LOUNGE PANTS L-XL (P5663))",22,"EA",10.00,220.00,1612.80
"Total ALBIM161",,,,,,,212,,,1612.80,1612.80
"ALBIM162",,,,,,,,,,,""
,"Invoice","10/10/2022","523314","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM162","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/10/2022","523314","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM162","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/10/2022","523314","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM162","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
,"Invoice","10/10/2022","523314","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM162","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,279.50
,"Invoice","10/10/2022","523314","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM162","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,395.60
,"Invoice","10/10/2022","523314","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM162","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,412.80
